entity,fact,text
CO2,"Changes in pCO2 (partial pressure of CO2) in the middle cerebral artery can induce constriction or dilatation, with marked responses observed only when there is a large change from normal pCO2 levels.","Entity: CO2. SMILES: O=C=O. Changes in pCO2 (partial pressure of CO2) in the middle cerebral artery can induce constriction or dilatation, with marked responses observed only when there is a large change from normal pCO2 levels."
O2,"O2 (oxygen) exposure in the middle cerebral artery can induce constriction, particularly when pCO2 is lowered further from normal.","Entity: O2. SMILES: [O]. O2 (oxygen) exposure in the middle cerebral artery can induce constriction, particularly when pCO2 is lowered further from normal."
pCh,pCh (intracerebrovascular carbon dioxide) affects cerebrovascular resistance primarily through an indirect effect via changes in acid-base balance within the brain.,Entity: pCh. SMILES: CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl. pCh (intracerebrovascular carbon dioxide) affects cerebrovascular resistance primarily through an indirect effect via changes in acid-base balance within the brain.
pCCh,pCCh (intracerebrovascular bicarbonate) affects cerebrovascular resistance mainly by altering acid-base balance in the brain.,Entity: pCCh. SMILES: C[N+](C)(C)CCOC(N)=O.[Cl-]. pCCh (intracerebrovascular bicarbonate) affects cerebrovascular resistance mainly by altering acid-base balance in the brain.
oxygen,"Low oxygen partial pressure (pO2) in solution induces a sudden, large constriction in the middle cerebral arteries, lasting 2 to 17 minutes, followed by recovery to baseline tension even when pO2 remains low.","Entity: oxygen. SMILES: [O]. Low oxygen partial pressure (pO2) in solution induces a sudden, large constriction in the middle cerebral arteries, lasting 2 to 17 minutes, followed by recovery to baseline tension even when pO2 remains low."
oxygen,"Hypoxia (low oxygen) sensitizes middle cerebral arteries, so repeated episodes of hypoxia cause progressively larger contractions in the arteries.","Entity: oxygen. SMILES: [O]. Hypoxia (low oxygen) sensitizes middle cerebral arteries, so repeated episodes of hypoxia cause progressively larger contractions in the arteries."
Oxygen,Inhaling 100% oxygen at normal atmospheric pressure causes a decrease in cerebral blood flow of up to 15% in middle cerebral artery preparations.,Entity: Oxygen. SMILES: [O]. Inhaling 100% oxygen at normal atmospheric pressure causes a decrease in cerebral blood flow of up to 15% in middle cerebral artery preparations.
oxygen,"Oxygen is available in compressed air as gas mixtures with 0%, 7%, 15%, 21%, and 95% O2 in 5% CO2 for regulating partial pressure (pO2) in solution.","Entity: oxygen. SMILES: [O]. Oxygen is available in compressed air as gas mixtures with 0%, 7%, 15%, 21%, and 95% O2 in 5% CO2 for regulating partial pressure (pO2) in solution."
carbon dioxide,"Carbon dioxide is available in compressed air as gas mixtures with 2%, 4%, 5%, 6%, 8%, and 13% CO2 in 21% O2, and also as a 2% CO2/0% O2 mixture for controlling partial pressure (pCO2) in solution.","Entity: carbon dioxide. SMILES: O=C=O. Carbon dioxide is available in compressed air as gas mixtures with 2%, 4%, 5%, 6%, 8%, and 13% CO2 in 21% O2, and also as a 2% CO2/0% O2 mixture for controlling partial pressure (pCO2) in solution."
O2,"Changes in O2 (oxygen) levels can affect cerebral blood flow, particularly in the context of chronic hypoxia.","Entity: O2. SMILES: [O]. Changes in O2 (oxygen) levels can affect cerebral blood flow, particularly in the context of chronic hypoxia."
ATP,Chronic hypoxia can lead to increased ATP production in cerebral tissue via anaerobic pathways as an adaptation to low oxygen.,Entity: ATP. SMILES: Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O. Chronic hypoxia can lead to increased ATP production in cerebral tissue via anaerobic pathways as an adaptation to low oxygen.
Oxygen,"Oxygen is required to allow normal constriction in response to low pCO2, suggesting its role in energy production for vascular contractile processes.","Entity: Oxygen. SMILES: [O]. Oxygen is required to allow normal constriction in response to low pCO2, suggesting its role in energy production for vascular contractile processes."
Carbon dioxide,"Low pCO2 (2% CO2) produces constriction in arteries, and this constriction is abolished or inhibited by hypoxia, indicating a role for CO2 in vascular reactivity.","Entity: Carbon dioxide. SMILES: O=C=O. Low pCO2 (2% CO2) produces constriction in arteries, and this constriction is abolished or inhibited by hypoxia, indicating a role for CO2 in vascular reactivity."
urea,Serum urea levels were within normal limits in all 50 patients with suspected Friedreich's ataxia.,Entity: urea. SMILES: NC(N)=O. Serum urea levels were within normal limits in all 50 patients with suspected Friedreich's ataxia.
uric acid,"Serum uric acid was elevated in only one patient with suspected Friedreich's ataxia, at a value of 9.7 mg%.","Entity: uric acid. SMILES: O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1. Serum uric acid was elevated in only one patient with suspected Friedreich's ataxia, at a value of 9.7 mg%."
vitamin B12,Serum vitamin B12 levels were within normal limits in all 50 patients with suspected Friedreich's ataxia.,Entity: vitamin B12. SMILES: C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\[N-][C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O.[C-]#N.[Co+3]. Serum vitamin B12 levels were within normal limits in all 50 patients with suspected Friedreich's ataxia.
creatinine,"Serum creatinine was elevated in 5 out of 50 patients with suspected Friedreich's ataxia, with values ranging from 1.3 to 3.3 mg/dL.","Entity: creatinine. SMILES: CN1CC(=O)N=C1N. Serum creatinine was elevated in 5 out of 50 patients with suspected Friedreich's ataxia, with values ranging from 1.3 to 3.3 mg/dL."
bilirubin,"The mean normal value for total serum bilirubin is 0.4 ± 0.2 mg% with an upper limit of normal of 0.8 mg per 100 ml (95% confidence limit = 0.75 mg per 100 ml), and in this study, the 95% confidence limit for the control group was 0.98 mg per 100 ml (1.0 mg%).","Entity: bilirubin. SMILES: C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O. The mean normal value for total serum bilirubin is 0.4 ± 0.2 mg% with an upper limit of normal of 0.8 mg per 100 ml (95% confidence limit = 0.75 mg per 100 ml), and in this study, the 95% confidence limit for the control group was 0.98 mg per 100 ml (1.0 mg%)."
alkaline phosphatase,"Mean values for alkaline phosphatase, a test of liver function, are higher in ataxic patients compared to controls.","Entity: alkaline phosphatase. SMILES: CC(N)C(=O)N1CCCC1C(=O)NCC(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)O. Mean values for alkaline phosphatase, a test of liver function, are higher in ataxic patients compared to controls."
bilirubin,"Bilirubin is an endogenous compound whose unconjugated form can reach levels over 12–15 mg/100 ml in rats, leading to signs resembling kernicterus with ataxia.","Entity: bilirubin. SMILES: C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O. Bilirubin is an endogenous compound whose unconjugated form can reach levels over 12–15 mg/100 ml in rats, leading to signs resembling kernicterus with ataxia."
bilirubin,"Bilirubin can interfere with sodium and urea transport in the renal medulla, contributing to polyuria and dehydration in rats with hyperbilirubinemia.","Entity: bilirubin. SMILES: C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O. Bilirubin can interfere with sodium and urea transport in the renal medulla, contributing to polyuria and dehydration in rats with hyperbilirubinemia."
urea,"Urea transport in the renal medulla can be disrupted by bilirubin, leading to polyuria and dehydration in rats with hyperbilirubinemia.","Entity: urea. SMILES: NC(N)=O. Urea transport in the renal medulla can be disrupted by bilirubin, leading to polyuria and dehydration in rats with hyperbilirubinemia."
sodium,"Sodium transport in the renal medulla can be affected by bilirubin, contributing to polyuria and dehydration in rats with hyperbilirubinemia.","Entity: sodium. SMILES: [Na]. Sodium transport in the renal medulla can be affected by bilirubin, contributing to polyuria and dehydration in rats with hyperbilirubinemia."
Taurine,Taurine administration leads to a significant increase in biliary excretion of both total cholesterol and congo red during perfusion.,Entity: Taurine. SMILES: NCCS(=O)(=O)O. Taurine administration leads to a significant increase in biliary excretion of both total cholesterol and congo red during perfusion.
2-aminoethanesulfonic acid,2-aminoethanesulfonic acid (taurine) is taken up into the brain and is metabolically inert in the kidney.,Entity: 2-aminoethanesulfonic acid. SMILES: NCCS(=O)(=O)O. 2-aminoethanesulfonic acid (taurine) is taken up into the brain and is metabolically inert in the kidney.
3-aminoisobutyric acid,"3-aminoisobutyric acid is handled by a α3-amino preferring tubular reabsorption system in mammalian kidney, along with α3-alanine and taurine.","Entity: 3-aminoisobutyric acid. SMILES: CC(CN)C(=O)O. 3-aminoisobutyric acid is handled by a α3-amino preferring tubular reabsorption system in mammalian kidney, along with α3-alanine and taurine."
2-aminoethanesulfonic acid,"2-aminoethanesulfonic acid, also known as taurine, is an ubiquitous amino acid found in large amounts in muscle, brain, heart, and posterior spinal cord.","Entity: 2-aminoethanesulfonic acid. SMILES: NCCS(=O)(=O)O. 2-aminoethanesulfonic acid, also known as taurine, is an ubiquitous amino acid found in large amounts in muscle, brain, heart, and posterior spinal cord."
2-aminoethanesulfonic acid,"2-aminoethanesulfonic acid (taurine) is present at high concentrations in urine and is influenced by drugs, hormones, or dietary input.","Entity: 2-aminoethanesulfonic acid. SMILES: NCCS(=O)(=O)O. 2-aminoethanesulfonic acid (taurine) is present at high concentrations in urine and is influenced by drugs, hormones, or dietary input."
taurine,"Taurine is subject to a tubular reabsorption defect in the kidney, resulting in abnormally high urinary excretion despite normal plasma values.","Entity: taurine. SMILES: NCCS(=O)(=O)O. Taurine is subject to a tubular reabsorption defect in the kidney, resulting in abnormally high urinary excretion despite normal plasma values."
3-alanine,"3-alanine is involved in a tubular reabsorption defect, leading to increased urinary excretion and competition with taurine for renal reabsorption.","Entity: 3-alanine. SMILES: NCCC(=O)O. 3-alanine is involved in a tubular reabsorption defect, leading to increased urinary excretion and competition with taurine for renal reabsorption."
BAIB,"BAIB is subject to a tubular reabsorption defect, resulting in increased urinary excretion and competition with taurine for renal reabsorption.","Entity: BAIB. SMILES: CC(CN)C(=O)O. BAIB is subject to a tubular reabsorption defect, resulting in increased urinary excretion and competition with taurine for renal reabsorption."
aspartic acid,Plasma concentrations of aspartic acid are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: aspartic acid. SMILES: N[C@@H](CC(=O)O)C(=O)O. Plasma concentrations of aspartic acid are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
glutamic acid,Plasma concentrations of glutamic acid are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: glutamic acid. SMILES: N[C@@H](CCC(=O)O)C(=O)O. Plasma concentrations of glutamic acid are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
histidine,Plasma concentrations of histidine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: histidine. SMILES: N[C@@H](Cc1c[nH]cn1)C(=O)O. Plasma concentrations of histidine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
alanine,Plasma concentrations of alanine are slightly elevated in patients with Friedreich's ataxia compared to normal adults.,Entity: alanine. SMILES: C[C@H](N)C(=O)O. Plasma concentrations of alanine are slightly elevated in patients with Friedreich's ataxia compared to normal adults.
phenylalanine,Plasma concentrations of phenylalanine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: phenylalanine. SMILES: N[C@@H](Cc1ccccc1)C(=O)O. Plasma concentrations of phenylalanine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
α-amino-N-butyric acid,Plasma concentrations of α-amino-N-butyric acid are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: α-amino-N-butyric acid. SMILES: CCC(N)C(=O)O. Plasma concentrations of α-amino-N-butyric acid are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
asparagine,Plasma concentrations of asparagine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: asparagine. SMILES: NC(=O)C[C@H](N)C(=O)O. Plasma concentrations of asparagine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
glycine,Plasma concentrations of glycine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: glycine. SMILES: NCC(=O)O. Plasma concentrations of glycine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
ornithine,Plasma concentrations of ornithine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.,Entity: ornithine. SMILES: NCCC[C@H](N)C(=O)O. Plasma concentrations of ornithine are significantly decreased in patients with Friedreich's ataxia compared to normal adults.
norleucine,Norleucine is used as an internal standard in serum amino acid analysis protocols.,Entity: norleucine. SMILES: CCCC[C@H](N)C(=O)O. Norleucine is used as an internal standard in serum amino acid analysis protocols.
L-aspartate,"L-aspartate is widely distributed throughout the brain, as indicated by the localization of its oxidase.","Entity: L-aspartate. SMILES: N[C@@H](CC(=O)O)C(=O)O. L-aspartate is widely distributed throughout the brain, as indicated by the localization of its oxidase."
L-aspartate,L-aspartate is involved in metabolic functions such as the citric acid cycle.,Entity: L-aspartate. SMILES: N[C@@H](CC(=O)O)C(=O)O. L-aspartate is involved in metabolic functions such as the citric acid cycle.
L-aspartate,L-aspartate can undergo β-decarboxylation into L-alanine.,Entity: L-aspartate. SMILES: N[C@@H](CC(=O)O)C(=O)O. L-aspartate can undergo β-decarboxylation into L-alanine.
L-aspartate,L-aspartate is possibly an excitatory synaptic transmitter in the mammalian central nervous system.,Entity: L-aspartate. SMILES: N[C@@H](CC(=O)O)C(=O)O. L-aspartate is possibly an excitatory synaptic transmitter in the mammalian central nervous system.
norleucine,Norleucine is used as an internal standard at a concentration of 0.1 M in cerebrospinal fluid assays.,Entity: norleucine. SMILES: CCCC[C@H](N)C(=O)O. Norleucine is used as an internal standard at a concentration of 0.1 M in cerebrospinal fluid assays.
pyruvate,"Pyruvate is a key intermediate in cellular respiration, and its oxidation involves a complex series of enzymatic reactions.","Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Pyruvate is a key intermediate in cellular respiration, and its oxidation involves a complex series of enzymatic reactions."
pyruvate,Impairment of pyruvate oxidation can occur due to defects in specific enzymes within the pyruvate oxidation pathway.,Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Impairment of pyruvate oxidation can occur due to defects in specific enzymes within the pyruvate oxidation pathway.
pyruvate,"Abnormal pyruvate responses to glucose have been reported in polyneuropathies, motor neuron disease, and certain myopathies.","Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Abnormal pyruvate responses to glucose have been reported in polyneuropathies, motor neuron disease, and certain myopathies."
pyruvate,Elevated fasting pyruvate and lactate levels are commonly observed in individuals with specific defects in pyruvate oxidation enzymes.,Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Elevated fasting pyruvate and lactate levels are commonly observed in individuals with specific defects in pyruvate oxidation enzymes.
thiamine,"Thiamine deficiency can impair the first step of pyruvate oxidation, catalyzed by Ei-pyruvate decarboxylase.","Entity: thiamine. SMILES: Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1. Thiamine deficiency can impair the first step of pyruvate oxidation, catalyzed by Ei-pyruvate decarboxylase."
mercury,"Elemental or organic mercury poisoning can impair the first step of pyruvate oxidation, catalyzed by Ei-pyruvate decarboxylase.","Entity: mercury. SMILES: [Hg]. Elemental or organic mercury poisoning can impair the first step of pyruvate oxidation, catalyzed by Ei-pyruvate decarboxylase."
alanine,"Elevated levels of alanine in blood and urine can be found in individuals with specific defects in pyruvate oxidation enzymes, as alanine is the transamination product of pyruvate.","Entity: alanine. SMILES: C[C@H](N)C(=O)O. Elevated levels of alanine in blood and urine can be found in individuals with specific defects in pyruvate oxidation enzymes, as alanine is the transamination product of pyruvate."
lactate,Elevated lactate levels are commonly observed in individuals with specific defects in pyruvate oxidation enzymes.,Entity: lactate. SMILES: CC(O)C(=O)[O-]. Elevated lactate levels are commonly observed in individuals with specific defects in pyruvate oxidation enzymes.
phytanic acid,"Phytanic acid storage is a manifestation of Refsum's disease, an inborn error of metabolism that can cause familial ataxia.","Entity: phytanic acid. SMILES: CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O. Phytanic acid storage is a manifestation of Refsum's disease, an inborn error of metabolism that can cause familial ataxia."
2-oxo-glutarate,"2-oxo-glutarate dehydrogenase shares a regenerating component (LAD; lipoamide dehydrogenase, E3) with pyruvate dehydrogenase, indicating a common enzymatic basis for their function.","Entity: 2-oxo-glutarate. SMILES: O=C([O-])CCC(=O)C(=O)[O-]. 2-oxo-glutarate dehydrogenase shares a regenerating component (LAD; lipoamide dehydrogenase, E3) with pyruvate dehydrogenase, indicating a common enzymatic basis for their function."
pyruvate,"Pyruvate oxidation is dependent on the regenerating component (LAD; lipoamide dehydrogenase, E3) of the pyruvate dehydrogenase complex, and deficiency in this component can cause impaired pyruvate oxidation to manifest only under metabolic stress such as glucose load.","Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Pyruvate oxidation is dependent on the regenerating component (LAD; lipoamide dehydrogenase, E3) of the pyruvate dehydrogenase complex, and deficiency in this component can cause impaired pyruvate oxidation to manifest only under metabolic stress such as glucose load."
glucose,"A glucose load induces metabolic stress that can unmask deficiencies in the regenerating component (LAD; lipoamide dehydrogenase, E3) of the pyruvate dehydrogenase complex, leading to impaired pyruvate oxidation.","Entity: glucose. SMILES: O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO. A glucose load induces metabolic stress that can unmask deficiencies in the regenerating component (LAD; lipoamide dehydrogenase, E3) of the pyruvate dehydrogenase complex, leading to impaired pyruvate oxidation."
2-oxoglutarate,"In patients with Friedreich's ataxia, the 2-oxoglutarate dehydrogenase complex shows a 50–12% reduction in activity compared to normal, as measured in disrupted cultured fibroblasts.","Entity: 2-oxoglutarate. SMILES: O=C([O-])CCC(=O)C(=O)[O-]. In patients with Friedreich's ataxia, the 2-oxoglutarate dehydrogenase complex shows a 50–12% reduction in activity compared to normal, as measured in disrupted cultured fibroblasts."
pyruvate,"Pyruvate oxidation in muscle is reduced in patients with Friedreich's ataxia, with low values found in 4 of 7 cases and in 8 of 19 neuropathies studied, though 3 of 7 Friedreich's patients were normal.","Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Pyruvate oxidation in muscle is reduced in patients with Friedreich's ataxia, with low values found in 4 of 7 cases and in 8 of 19 neuropathies studied, though 3 of 7 Friedreich's patients were normal."
pyruvate,Blood pyruvate response to glucose load is abnormal in only 2 of 3 Friedreich's ataxia patients with low muscle pyruvate oxidation rates.,Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Blood pyruvate response to glucose load is abnormal in only 2 of 3 Friedreich's ataxia patients with low muscle pyruvate oxidation rates.
pyruvate,Abnormal pyruvate values after a glucose challenge are observed in Friedreich's ataxia due to slow pyruvate oxidation.,Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Abnormal pyruvate values after a glucose challenge are observed in Friedreich's ataxia due to slow pyruvate oxidation.
acetoacetate,A block in the pyruvate dehydrogenase pathway can lead to overuse of the direct pyruvate to acetoacetate pathway to keep the Krebs Cycle active.,Entity: acetoacetate. SMILES: CC(=O)CC(=O)[O-]. A block in the pyruvate dehydrogenase pathway can lead to overuse of the direct pyruvate to acetoacetate pathway to keep the Krebs Cycle active.
taurine,Impairment of pyruvate flow can affect the metabolism of taurine in Friedreich's ataxia.,Entity: taurine. SMILES: NCCS(=O)(=O)O. Impairment of pyruvate flow can affect the metabolism of taurine in Friedreich's ataxia.
bilirubin,Impairment of pyruvate flow can affect the metabolism of bilirubin in Friedreich's ataxia.,Entity: bilirubin. SMILES: C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O. Impairment of pyruvate flow can affect the metabolism of bilirubin in Friedreich's ataxia.
acetyl co-enzyme A,Decreased availability of acetyl co-enzyme A (acetyl CoA) in Friedreich's ataxia can be reflected in a cholinergic deficit.,Entity: acetyl co-enzyme A. SMILES: CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O. Decreased availability of acetyl co-enzyme A (acetyl CoA) in Friedreich's ataxia can be reflected in a cholinergic deficit.
alanine,Overflow of alanine into the urine is observed in Friedreich's ataxia due to impaired pyruvate oxidation.,Entity: alanine. SMILES: C[C@H](N)C(=O)O. Overflow of alanine into the urine is observed in Friedreich's ataxia due to impaired pyruvate oxidation.
aspartic acid,"Aspartic acid is present in low concentrations in the plasma of Friedreich's ataxia patients, potentially due to altered pyruvate dehydrogenase pathway activity.","Entity: aspartic acid. SMILES: N[C@@H](CC(=O)O)C(=O)O. Aspartic acid is present in low concentrations in the plasma of Friedreich's ataxia patients, potentially due to altered pyruvate dehydrogenase pathway activity."
asparagine,"Asparagine is present in low concentrations in the plasma of Friedreich's ataxia patients, potentially due to altered pyruvate dehydrogenase pathway activity.","Entity: asparagine. SMILES: NC(=O)C[C@H](N)C(=O)O. Asparagine is present in low concentrations in the plasma of Friedreich's ataxia patients, potentially due to altered pyruvate dehydrogenase pathway activity."
lactate,Lactate levels are expected to be high in Friedreich's ataxia due to slow pyruvate oxidation.,Entity: lactate. SMILES: CC(O)C(=O)[O-]. Lactate levels are expected to be high in Friedreich's ataxia due to slow pyruvate oxidation.
taurine,"Serum taurine levels are low in Friedreich's ataxia, while urinary taurine levels are normal or high with abnormally high renal clearances, suggesting a possible tubular reabsorption defect.","Entity: taurine. SMILES: NCCS(=O)(=O)O. Serum taurine levels are low in Friedreich's ataxia, while urinary taurine levels are normal or high with abnormally high renal clearances, suggesting a possible tubular reabsorption defect."
phytanic acid,No abnormality in phytanic acid levels is found in Friedreich's ataxia.,Entity: phytanic acid. SMILES: CC(C)CCCC(C)CCCC(C)CCCC(C)CC(=O)O. No abnormality in phytanic acid levels is found in Friedreich's ataxia.
alanine,"Serum and mainly urinary alanine levels are elevated in Friedreich's ataxia, possibly due to amino acid overflow.","Entity: alanine. SMILES: NCCC(=O)O. Serum and mainly urinary alanine levels are elevated in Friedreich's ataxia, possibly due to amino acid overflow."
3-aminoisobutyric acid,High urinary excretion of 3-aminoisobutyric acid (BAIB) is observed in Friedreich's ataxia.,Entity: 3-aminoisobutyric acid. SMILES: CC(CN)C(=O)O. High urinary excretion of 3-aminoisobutyric acid (BAIB) is observed in Friedreich's ataxia.
aspartic acid,Abnormally low levels of aspartic acid are found in the spinal cord of patients with Friedreich's ataxia.,Entity: aspartic acid. SMILES: N[C@@H](CC(=O)O)C(=O)O. Abnormally low levels of aspartic acid are found in the spinal cord of patients with Friedreich's ataxia.
isoleucine,Serum leucine/isoleucine value is lowered in the spinal cord of patients with Friedreich's ataxia.,Entity: isoleucine. SMILES: CC[C@H](C)[C@H](N)C(=O)O. Serum leucine/isoleucine value is lowered in the spinal cord of patients with Friedreich's ataxia.
aspartic acid,Low CSF aspartic acid levels are observed in Friedreich's ataxia.,Entity: aspartic acid. SMILES: N[C@@H](CC(=O)O)C(=O)O. Low CSF aspartic acid levels are observed in Friedreich's ataxia.
bilirubin,"Frequent occurrence of elevated unconjugated bilirubinemia in Friedreich's ataxia, with increases after fasting and essentially normal liver function tests.","Entity: bilirubin. SMILES: C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O. Frequent occurrence of elevated unconjugated bilirubinemia in Friedreich's ataxia, with increases after fasting and essentially normal liver function tests."
aspartic acid,"Normal serum, but considerably increased levels of urinary aspartic acid are present in Friedreich's ataxia.","Entity: aspartic acid. SMILES: N[C@@H](CC(=O)O)C(=O)O. Normal serum, but considerably increased levels of urinary aspartic acid are present in Friedreich's ataxia."
NAD,A binding defect of NAD on the lipoamide dehydrogenase molecule may contribute to impaired pyruvate dehydrogenase function in Friedreich's ataxia.,Entity: NAD. SMILES: NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1. A binding defect of NAD on the lipoamide dehydrogenase molecule may contribute to impaired pyruvate dehydrogenase function in Friedreich's ataxia.
pyridoxal phosphate,A binding defect of FAD or NAD on the lipoamide dehydrogenase molecule may be mediated by pyridoxal phosphate.,Entity: pyridoxal phosphate. SMILES: Cc1ncc(COP(=O)(O)O)c(C=O)c1O. A binding defect of FAD or NAD on the lipoamide dehydrogenase molecule may be mediated by pyridoxal phosphate.
pyruvate,"Friedreich's ataxia patients show a clearly abnormal response of pyruvate to glucose load, indicating slow pyruvate oxidation.","Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Friedreich's ataxia patients show a clearly abnormal response of pyruvate to glucose load, indicating slow pyruvate oxidation."
pyruvate,Serum values of most enzymes of the glycolytic pathway are normal except as indicated above for pyruvate dehydrogenase in vivo.,Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Serum values of most enzymes of the glycolytic pathway are normal except as indicated above for pyruvate dehydrogenase in vivo.
glucose,"Serum glucose is used to assess pyruvate oxidation in Friedreich's ataxia, with abnormal responses indicating impaired pyruvate oxidation.","Entity: glucose. SMILES: O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO. Serum glucose is used to assess pyruvate oxidation in Friedreich's ataxia, with abnormal responses indicating impaired pyruvate oxidation."
lactate,"Lactate levels show a parallel response with pyruvate in Friedreich's ataxia, reflecting impaired pyruvate oxidation.","Entity: lactate. SMILES: CC(O)C(=O)[O-]. Lactate levels show a parallel response with pyruvate in Friedreich's ataxia, reflecting impaired pyruvate oxidation."
bilirubin,"Bilirubin levels may be abnormal in some individuals with Gilbert's disease, but this abnormality is not considered to be primarily responsible for other abnormalities in pyruvate oxidation and glucose metabolism.","Entity: bilirubin. SMILES: C=CC1=C(C)/C(=C/c2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)NC1=O. Bilirubin levels may be abnormal in some individuals with Gilbert's disease, but this abnormality is not considered to be primarily responsible for other abnormalities in pyruvate oxidation and glucose metabolism."
ornithine,"Patients with Gilbert's disease may have a high output of ornithine, although the significance of this finding is not clear.","Entity: ornithine. SMILES: NCCC[C@H](N)C(=O)O. Patients with Gilbert's disease may have a high output of ornithine, although the significance of this finding is not clear."
pyruvate,"Abnormalities in pyruvate oxidation are associated with Gilbert's disease, but bilirubin defects are not considered the primary cause.","Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Abnormalities in pyruvate oxidation are associated with Gilbert's disease, but bilirubin defects are not considered the primary cause."
glucose,"Abnormalities in glucose metabolism are associated with Gilbert's disease, but bilirubin defects are not considered the primary cause.","Entity: glucose. SMILES: O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO. Abnormalities in glucose metabolism are associated with Gilbert's disease, but bilirubin defects are not considered the primary cause."
Bromodeoxyuridine,Bromodeoxyuridine (BU) is used in selection systems to induce DNA synthesis arrest and select for cells with mutations that confer resistance to DNA synthesis inhibition.,Entity: Bromodeoxyuridine. SMILES: O=c1ccn([C@@]2(Br)C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1. Bromodeoxyuridine (BU) is used in selection systems to induce DNA synthesis arrest and select for cells with mutations that confer resistance to DNA synthesis inhibition.
